,ctx-lh-bankssts_1,ctx-lh-caudalanteriorcingulate_1,ctx-lh-caudalmiddlefrontal_1,ctx-lh-cuneus_1,ctx-lh-entorhinal_1,ctx-lh-fusiform_1,ctx-lh-fusiform_2,ctx-lh-inferiorparietal_1,ctx-lh-inferiorparietal_2,ctx-lh-inferiortemporal_1,ctx-lh-inferiortemporal_2,ctx-lh-isthmuscingulate_1,ctx-lh-lateraloccipital_1,ctx-lh-lateraloccipital_2,ctx-lh-lateralorbitofrontal_1,ctx-lh-lateralorbitofrontal_2,ctx-lh-lingual_1,ctx-lh-lingual_2,ctx-lh-medialorbitofrontal_1,ctx-lh-middletemporal_1,ctx-lh-middletemporal_2,ctx-lh-parahippocampal_1,ctx-lh-paracentral_1,ctx-lh-parsopercularis_1,ctx-lh-parsorbitalis_1,ctx-lh-parstriangularis_1,ctx-lh-pericalcarine_1,ctx-lh-postcentral_1,ctx-lh-postcentral_2,ctx-lh-postcentral_3,ctx-lh-posteriorcingulate_1,ctx-lh-precentral_1,ctx-lh-precentral_2,ctx-lh-precentral_3,ctx-lh-precentral_4,ctx-lh-precuneus_1,ctx-lh-precuneus_2,ctx-lh-rostralanteriorcingulate_1,ctx-lh-rostralmiddlefrontal_1,ctx-lh-rostralmiddlefrontal_2,ctx-lh-rostralmiddlefrontal_3,ctx-lh-superiorfrontal_1,ctx-lh-superiorfrontal_2,ctx-lh-superiorfrontal_3,ctx-lh-superiorfrontal_4,ctx-lh-superiorparietal_1,ctx-lh-superiorparietal_2,ctx-lh-superiorparietal_3,ctx-lh-superiortemporal_1,ctx-lh-superiortemporal_2,ctx-lh-supramarginal_1,ctx-lh-supramarginal_2,ctx-lh-frontalpole_1,ctx-lh-temporalpole_1,ctx-lh-transversetemporal_1,ctx-lh-insula_1,ctx-lh-insula_2,ctx-rh-bankssts_1,ctx-rh-caudalanteriorcingulate_1,ctx-rh-caudalmiddlefrontal_1,ctx-rh-cuneus_1,ctx-rh-entorhinal_1,ctx-rh-fusiform_1,ctx-rh-fusiform_2,ctx-rh-inferiorparietal_1,ctx-rh-inferiorparietal_2,ctx-rh-inferiorparietal_3,ctx-rh-inferiortemporal_1,ctx-rh-inferiortemporal_2,ctx-rh-isthmuscingulate_1,ctx-rh-lateraloccipital_1,ctx-rh-lateraloccipital_2,ctx-rh-lateraloccipital_3,ctx-rh-lateralorbitofrontal_1,ctx-rh-lateralorbitofrontal_2,ctx-rh-lingual_1,ctx-rh-lingual_2,ctx-rh-medialorbitofrontal_1,ctx-rh-medialorbitofrontal_2,ctx-rh-middletemporal_1,ctx-rh-middletemporal_2,ctx-rh-parahippocampal_1,ctx-rh-paracentral_1,ctx-rh-parsopercularis_1,ctx-rh-parsorbitalis_1,ctx-rh-parstriangularis_1,ctx-rh-pericalcarine_1,ctx-rh-postcentral_1,ctx-rh-postcentral_2,ctx-rh-posteriorcingulate_1,ctx-rh-precentral_1,ctx-rh-precentral_2,ctx-rh-precentral_3,ctx-rh-precuneus_1,ctx-rh-precuneus_2,ctx-rh-rostralanteriorcingulate_1,ctx-rh-rostralmiddlefrontal_1,ctx-rh-rostralmiddlefrontal_2,ctx-rh-superiorfrontal_1,ctx-rh-superiorfrontal_2,ctx-rh-superiorfrontal_3,ctx-rh-superiorfrontal_4,ctx-rh-superiorparietal_1,ctx-rh-superiorparietal_2,ctx-rh-superiorparietal_3,ctx-rh-superiortemporal_1,ctx-rh-superiortemporal_2,ctx-rh-supramarginal_1,ctx-rh-supramarginal_2,ctx-rh-frontalpole_1,ctx-rh-temporalpole_1,ctx-rh-transversetemporal_1,ctx-rh-insula_1,ctx-rh-insula_2
ctx-lh-inferiortemporal_2,,,,,,,,,,,,0.099,0.029,-0.125,0.172,0.017,0.042,0.021,0.107,-0.051,0.022,0.005,-0.067,0.02,-0.024,-0.066,0.135,-0.094,0.011,-0.025,0.106,0.018,-0.034,-0.011,0.008,-0.071,0.011,0.14,0.109,0.069,0.067,0.067,0.076,-0.043,-0.006,-0.067,-0.049,-0.107,0.102,0.12,-0.016,0.055,0.035,-0.019,0.205,0.125,0.083,-0.101,0.115,0.047,-0.013,0.032,-0.106,-0.233,0.008,-0.122,-0.124,-0.079,0.005,0.067,-0.071,-0.076,-0.091,0.142,0.009,-0.016,0.009,0.101,-0.002,0.014,-0.059,-0.103,-0.042,-0.018,0.026,-0.016,0.122,0.006,-0.043,0.168,-0.066,-0.058,-0.013,-0.035,-0.007,0.171,0.046,0.137,0.047,0.053,0.046,-0.07,-0.077,-0.09,-0.122,0.024,-0.072,-0.032,-0.02,-0.054,-0.088,0.098,0.049,0.214
ctx-lh-isthmuscingulate_1,,,,,,,,,,,,,0.084,0.164,-0.184,-0.083,-0.105,-0.134,-0.02,0.138,0.094,-0.002,-0.063,-0.079,0.033,-0.072,-0.17,-0.048,-0.046,-0.174,-0.012,-0.136,-0.061,-0.032,-0.095,-0.04,0.013,0.065,0.025,-0.074,0.036,-0.097,0.058,0.078,-0.146,-0.083,-0.027,-0.012,-0.107,0.027,-0.188,-0.057,-0.031,-0.082,-0.043,-0.227,-0.094,-0.003,-0.111,0.034,-0.079,0.012,-0.006,-0.017,0.103,0.228,-0.013,0.122,0.043,0.064,0.092,0.151,0.099,-0.019,-0.052,-0.079,-0.192,0.074,0.108,-0.006,0.154,-0.003,-0.083,-0.09,0.185,-0.057,-0.137,-0.178,-0.132,0.001,-0.064,-0.086,-0.129,0.003,0.046,0.07,0.042,-0.053,0.08,0.078,-0.183,-0.1,-0.252,-0.156,-0.093,-0.017,0.067,0.022,-0.184,-0.043,-0.025,0.011,-0.176,-0.144
ctx-lh-lateraloccipital_1,,,,,,,,,,,,,,0.086,0.027,-0.006,0.059,0.194,0.041,0.203,0.042,0.063,-0.122,0.069,-0.081,-0.02,0.094,-0.183,-0.048,0.094,0.031,-0.034,-0.018,0.095,0.073,-0.148,-0.017,0.177,0.005,-0.024,-0.028,-0.022,0.06,0.008,0.067,-0.105,-0.052,0.059,0.127,0.066,-0.028,0.084,0.025,-0.147,0.006,-0.005,-0.085,0.048,0.037,-0.063,0.177,-0.219,0.036,0.031,0.049,-0.034,-0.069,-0.049,0.005,0.089,0.002,-0.006,-0.023,0.072,0.006,0.036,0.204,0.067,0.127,0.025,-0.028,0.094,-0.105,-0.029,-0.068,-0.033,0.091,0.048,0.006,0.043,0.006,0.034,-0.09,0.068,-0.142,0.155,-0.039,0.012,0.027,0.033,0.01,-0.067,-0.148,-0.061,0.048,0.04,-0.088,-0.062,-0.078,-0.01,-0.14,0.038,-0.06,-0.099
ctx-lh-lateraloccipital_2,,,,,,,,,,,,,,,0.005,-0.021,0.121,0.177,0.062,0.071,0.048,0.071,-0.15,-0.043,-0.125,-0.092,0.161,-0.216,-0.12,-0.06,0.162,-0.064,-0.099,-0.034,-0.042,-0.109,0.106,0.257,-0.012,0.031,0.022,0.012,0.077,0.04,0.024,-0.195,-0.189,-0.012,0.032,-0.06,-0.034,0.082,0.02,-0.02,0.035,0.06,-0.042,0.025,0.108,0.011,0.15,-0.14,0.039,-0.027,0.123,-0.043,-0.141,0.005,-0.08,0.175,-0.003,-0.061,-0.108,0.139,0.069,0.094,0.179,0.109,0.101,-0.024,0.048,0.127,-0.148,0.012,-0.027,0.003,0.169,-0.079,-0.127,0.192,-0.085,-0.043,-0.172,0.16,-0.007,0.327,0.025,0.124,0.145,0.092,0.065,-0.009,-0.257,-0.155,0.009,-0.061,-0.072,-0.074,-0.075,-0.031,-0.007,0.121,0.006,-0.02
ctx-lh-lateralorbitofrontal_1,,,,,,,,,,,,,,,,0.181,0.015,-0.063,-0.104,0.044,-0.231,0.078,0.021,0.01,-0.023,-0.145,-0.052,-0.032,0.098,-0.026,0.063,0.113,0.121,-0.02,0.084,0.001,-0.086,-0.039,0.167,0.259,0.108,-0.045,-0.109,0.037,0.117,0.138,0.112,0.035,-0.056,-0.077,0.084,0.002,-0.086,-0.022,-0.054,0.046,0.113,-0.071,0.026,0.0,0.036,-0.032,0.013,0.042,-0.142,-0.05,-0.025,-0.142,0.215,-0.149,0.084,-0.058,0.083,0.018,0.101,-0.015,-0.018,-0.049,-0.022,-0.093,-0.189,-0.034,0.012,0.029,-0.111,-0.124,-0.079,-0.061,0.043,0.008,0.012,0.002,0.089,-0.083,0.063,0.012,0.161,-0.004,-0.048,-0.092,0.03,0.285,0.173,0.069,0.076,-0.167,-0.004,0.04,0.048,-0.023,0.004,-0.006,0.027,0.049
ctx-lh-lateralorbitofrontal_2,,,,,,,,,,,,,,,,,0.053,0.081,-0.062,0.008,-0.033,-0.006,-0.039,0.029,-0.087,0.059,0.002,-0.002,0.098,-0.113,-0.045,0.038,0.123,-0.059,0.006,-0.071,-0.074,0.067,0.129,0.139,0.168,0.069,0.088,-0.049,0.034,-0.001,0.09,0.06,0.023,0.112,0.035,-0.005,-0.037,0.002,0.033,-0.059,0.052,-0.069,0.011,-0.011,0.037,0.011,-0.01,-0.026,-0.106,-0.036,-0.034,-0.168,0.017,-0.093,0.08,-0.054,-0.01,0.011,0.053,0.022,0.06,-0.032,-0.13,-0.041,-0.207,0.022,-0.093,-0.042,-0.13,-0.042,-0.021,-0.22,0.023,-0.059,-0.124,-0.069,0.078,-0.045,-0.109,0.053,0.053,0.092,0.012,-0.032,-0.021,-0.022,0.016,0.03,0.088,-0.077,-0.044,-0.1,-0.043,0.003,-0.021,0.012,0.004,0.023
ctx-lh-lingual_1,,,,,,,,,,,,,,,,,,0.125,0.02,0.072,0.089,0.059,-0.186,0.032,-0.053,-0.001,0.125,-0.117,-0.12,0.069,-0.106,-0.055,-0.078,-0.005,0.032,-0.1,-0.157,0.075,0.015,-0.016,0.004,0.069,0.07,0.024,0.027,-0.085,-0.045,0.024,0.019,0.003,0.011,0.004,0.034,-0.032,-0.033,-0.122,-0.078,0.005,0.033,-0.031,-0.026,-0.156,0.014,0.043,0.047,-0.029,0.027,-0.025,0.016,-0.079,0.022,0.067,0.011,0.031,0.036,0.061,0.068,-0.007,0.092,0.061,0.066,0.004,-0.126,0.031,-0.01,0.002,0.119,0.094,-0.078,-0.068,0.079,0.014,-0.069,-0.124,-0.137,0.063,-0.058,0.045,0.06,0.057,0.057,0.013,-0.064,-0.04,0.02,0.011,-0.055,-0.036,-0.046,-0.007,-0.108,-0.022,-0.042,-0.046
ctx-lh-lingual_2,,,,,,,,,,,,,,,,,,,-0.032,-0.028,0.034,0.019,-0.209,-0.05,0.013,-0.062,0.187,-0.118,-0.179,0.001,-0.044,-0.132,-0.12,-0.035,-0.081,-0.035,-0.172,0.027,0.006,0.023,0.026,0.036,0.047,0.032,-0.098,-0.067,-0.045,0.022,-0.096,-0.116,-0.052,0.019,0.089,0.027,-0.001,-0.133,-0.124,-0.091,0.015,-0.042,0.048,-0.096,0.044,0.048,0.08,-0.042,0.013,-0.019,-0.052,-0.102,0.126,0.127,0.071,-0.035,0.108,0.164,-0.111,0.008,0.093,0.058,0.099,-0.051,-0.158,-0.091,0.042,-0.074,0.131,-0.032,-0.161,-0.023,-0.009,-0.043,-0.145,-0.178,-0.078,-0.001,-0.119,0.061,0.027,0.042,-0.04,-0.019,-0.113,0.0,0.094,-0.076,-0.071,-0.027,-0.093,0.063,-0.068,-0.019,-0.119,-0.115
ctx-lh-medialorbitofrontal_1,,,,,,,,,,,,,,,,,,,,0.182,-0.012,0.092,-0.056,-0.034,-0.004,-0.051,-0.029,-0.016,0.069,-0.13,0.014,-0.041,0.066,-0.028,-0.043,-0.073,0.02,0.016,0.046,0.028,-0.022,-0.199,0.033,0.057,-0.025,-0.006,-0.006,0.043,-0.115,-0.015,-0.053,-0.056,-0.04,-0.004,-0.071,-0.075,-0.037,-0.105,-0.039,0.091,-0.027,0.028,-0.016,0.079,-0.008,0.153,-0.055,0.058,0.028,0.002,0.068,0.054,-0.011,-0.075,-0.062,-0.047,-0.116,-0.0,0.017,-0.05,0.015,-0.059,-0.101,-0.022,0.091,-0.054,-0.06,-0.172,-0.096,-0.007,-0.086,-0.068,-0.043,0.006,0.051,-0.014,0.074,-0.07,0.072,0.082,-0.062,0.084,-0.156,-0.063,-0.038,-0.148,0.042,-0.005,-0.092,-0.043,0.016,-0.049,-0.047,0.024
ctx-lh-middletemporal_1,,,,,,,,,,,,,,,,,,,,,0.095,-0.102,0.071,-0.056,0.09,0.001,0.036,0.015,0.067,0.043,0.039,0.073,0.0,0.069,-0.01,-0.125,-0.042,0.161,-0.048,0.018,0.045,0.156,0.133,0.004,0.044,-0.107,-0.159,-0.1,0.058,0.11,-0.035,-0.12,0.135,0.126,-0.055,0.109,-0.004,-0.018,-0.002,-0.078,-0.023,0.022,-0.03,-0.117,-0.079,-0.031,-0.207,-0.022,-0.06,0.093,0.094,0.062,0.008,-0.021,-0.072,0.054,-0.05,0.165,0.02,0.01,-0.007,-0.087,0.074,-0.048,0.028,0.023,0.063,0.064,-0.032,-0.002,0.054,0.013,0.01,-0.046,-0.147,0.111,-0.076,0.025,0.126,0.06,0.016,-0.198,-0.102,-0.224,-0.165,-0.094,-0.006,-0.148,-0.066,0.06,0.059,0.029,0.057,0.024
