,ctx-lh-bankssts_1,ctx-lh-caudalanteriorcingulate_1,ctx-lh-caudalmiddlefrontal_1,ctx-lh-cuneus_1,ctx-lh-entorhinal_1,ctx-lh-fusiform_1,ctx-lh-fusiform_2,ctx-lh-inferiorparietal_1,ctx-lh-inferiorparietal_2,ctx-lh-inferiortemporal_1,ctx-lh-inferiortemporal_2,ctx-lh-isthmuscingulate_1,ctx-lh-lateraloccipital_1,ctx-lh-lateraloccipital_2,ctx-lh-lateralorbitofrontal_1,ctx-lh-lateralorbitofrontal_2,ctx-lh-lingual_1,ctx-lh-lingual_2,ctx-lh-medialorbitofrontal_1,ctx-lh-middletemporal_1,ctx-lh-middletemporal_2,ctx-lh-parahippocampal_1,ctx-lh-paracentral_1,ctx-lh-parsopercularis_1,ctx-lh-parsorbitalis_1,ctx-lh-parstriangularis_1,ctx-lh-pericalcarine_1,ctx-lh-postcentral_1,ctx-lh-postcentral_2,ctx-lh-postcentral_3,ctx-lh-posteriorcingulate_1,ctx-lh-precentral_1,ctx-lh-precentral_2,ctx-lh-precentral_3,ctx-lh-precentral_4,ctx-lh-precuneus_1,ctx-lh-precuneus_2,ctx-lh-rostralanteriorcingulate_1,ctx-lh-rostralmiddlefrontal_1,ctx-lh-rostralmiddlefrontal_2,ctx-lh-rostralmiddlefrontal_3,ctx-lh-superiorfrontal_1,ctx-lh-superiorfrontal_2,ctx-lh-superiorfrontal_3,ctx-lh-superiorfrontal_4,ctx-lh-superiorparietal_1,ctx-lh-superiorparietal_2,ctx-lh-superiorparietal_3,ctx-lh-superiortemporal_1,ctx-lh-superiortemporal_2,ctx-lh-supramarginal_1,ctx-lh-supramarginal_2,ctx-lh-frontalpole_1,ctx-lh-temporalpole_1,ctx-lh-transversetemporal_1,ctx-lh-insula_1,ctx-lh-insula_2,ctx-rh-bankssts_1,ctx-rh-caudalanteriorcingulate_1,ctx-rh-caudalmiddlefrontal_1,ctx-rh-cuneus_1,ctx-rh-entorhinal_1,ctx-rh-fusiform_1,ctx-rh-fusiform_2,ctx-rh-inferiorparietal_1,ctx-rh-inferiorparietal_2,ctx-rh-inferiorparietal_3,ctx-rh-inferiortemporal_1,ctx-rh-inferiortemporal_2,ctx-rh-isthmuscingulate_1,ctx-rh-lateraloccipital_1,ctx-rh-lateraloccipital_2,ctx-rh-lateraloccipital_3,ctx-rh-lateralorbitofrontal_1,ctx-rh-lateralorbitofrontal_2,ctx-rh-lingual_1,ctx-rh-lingual_2,ctx-rh-medialorbitofrontal_1,ctx-rh-medialorbitofrontal_2,ctx-rh-middletemporal_1,ctx-rh-middletemporal_2,ctx-rh-parahippocampal_1,ctx-rh-paracentral_1,ctx-rh-parsopercularis_1,ctx-rh-parsorbitalis_1,ctx-rh-parstriangularis_1,ctx-rh-pericalcarine_1,ctx-rh-postcentral_1,ctx-rh-postcentral_2,ctx-rh-posteriorcingulate_1,ctx-rh-precentral_1,ctx-rh-precentral_2,ctx-rh-precentral_3,ctx-rh-precuneus_1,ctx-rh-precuneus_2,ctx-rh-rostralanteriorcingulate_1,ctx-rh-rostralmiddlefrontal_1,ctx-rh-rostralmiddlefrontal_2,ctx-rh-superiorfrontal_1,ctx-rh-superiorfrontal_2,ctx-rh-superiorfrontal_3,ctx-rh-superiorfrontal_4,ctx-rh-superiorparietal_1,ctx-rh-superiorparietal_2,ctx-rh-superiorparietal_3,ctx-rh-superiortemporal_1,ctx-rh-superiortemporal_2,ctx-rh-supramarginal_1,ctx-rh-supramarginal_2,ctx-rh-frontalpole_1,ctx-rh-temporalpole_1,ctx-rh-transversetemporal_1,ctx-rh-insula_1,ctx-rh-insula_2
ctx-lh-inferiortemporal_2,,,,,,,,,,,,0.073,-0.235,-0.128,0.084,-0.041,-0.053,0.01,0.053,-0.103,-0.006,0.133,0.022,-0.006,-0.003,-0.026,-0.103,0.046,0.026,0.031,0.154,0.037,0.085,-0.013,0.03,-0.031,0.123,0.117,0.101,0.042,0.095,0.056,0.102,0.09,-0.077,-0.012,0.038,-0.067,0.036,0.045,0.024,0.011,0.014,-0.081,0.121,0.125,0.043,0.005,0.066,-0.03,-0.091,0.009,-0.019,0.068,-0.006,0.063,-0.05,-0.017,-0.025,0.079,-0.113,-0.129,0.004,0.097,0.03,-0.1,-0.06,0.157,0.093,-0.089,0.01,0.094,0.021,-0.077,0.002,-0.025,-0.064,0.053,0.005,0.14,0.02,-0.01,0.059,0.102,0.002,0.098,0.027,0.057,0.099,0.104,-0.078,-0.02,0.039,0.013,-0.044,0.031,-0.053,-0.099,-0.059,-0.035,-0.047,0.14,0.063,-0.034
ctx-lh-isthmuscingulate_1,,,,,,,,,,,,,0.094,0.049,-0.008,-0.043,0.031,-0.001,-0.053,0.178,-0.057,0.027,-0.054,0.03,-0.01,0.029,0.022,-0.06,-0.139,-0.091,0.111,-0.049,-0.126,-0.071,0.025,0.16,0.047,0.067,0.088,0.099,-0.045,-0.087,0.038,0.032,0.046,-0.027,-0.019,0.055,0.124,0.01,0.033,0.061,-0.105,0.117,-0.001,0.069,0.08,0.018,0.101,-0.147,0.018,-0.04,0.031,0.052,-0.046,-0.102,-0.027,-0.07,-0.049,-0.079,0.079,0.066,0.08,-0.145,-0.172,0.036,0.054,-0.094,-0.095,0.002,-0.058,0.018,0.025,-0.015,-0.097,-0.054,0.079,-0.026,-0.096,0.038,0.083,-0.02,-0.042,-0.032,0.007,-0.026,-0.089,-0.12,-0.118,-0.219,0.021,-0.001,-0.048,-0.054,0.029,0.015,0.117,0.009,0.109,-0.179,-0.032,0.097,0.089,0.033
ctx-lh-lateraloccipital_1,,,,,,,,,,,,,,0.007,0.023,-0.067,0.064,0.12,0.064,-0.043,0.025,0.046,0.005,-0.093,-0.036,-0.131,0.04,0.0,0.054,0.09,0.07,0.013,-0.029,-0.019,0.004,0.04,0.172,0.063,-0.067,-0.071,-0.039,-0.037,-0.016,-0.044,0.031,0.026,-0.084,-0.027,0.15,0.073,0.084,0.03,0.073,0.097,0.134,0.049,-0.033,0.171,-0.0,-0.15,0.102,0.126,0.08,0.012,0.048,-0.015,-0.012,0.142,-0.093,0.012,0.029,-0.106,0.083,0.006,0.039,0.081,0.141,0.003,-0.08,-0.008,0.066,0.077,0.075,-0.058,-0.037,-0.118,0.012,0.127,0.083,0.09,0.054,0.06,-0.002,0.121,0.003,0.053,-0.035,-0.041,-0.03,-0.045,0.001,-0.015,0.126,-0.042,0.031,0.171,0.024,0.026,0.13,0.06,0.077,0.209,0.042,0.011
ctx-lh-lateraloccipital_2,,,,,,,,,,,,,,,0.059,-0.004,0.077,0.094,0.004,-0.079,-0.074,-0.005,-0.001,-0.006,0.01,0.007,0.091,0.009,0.037,0.087,0.1,-0.016,-0.018,0.052,0.075,0.008,0.112,0.085,-0.016,-0.008,-0.022,-0.01,0.032,-0.018,0.051,0.017,0.015,-0.038,0.136,0.017,0.137,0.099,0.008,0.025,0.185,0.081,0.043,0.069,0.079,-0.041,0.06,0.06,0.051,-0.043,0.01,0.001,-0.073,0.033,-0.085,-0.026,-0.043,-0.111,-0.031,0.008,0.048,0.037,0.106,0.029,-0.101,-0.096,-0.001,0.102,0.044,0.036,0.018,-0.004,0.039,0.112,0.006,0.116,0.06,0.086,-0.029,0.038,-0.052,0.072,0.028,-0.052,-0.051,-0.021,0.052,-0.038,0.074,-0.058,-0.018,0.105,-0.011,0.064,0.137,0.077,0.034,0.203,0.059,0.016
ctx-lh-lateralorbitofrontal_1,,,,,,,,,,,,,,,,-0.03,0.07,0.02,-0.056,-0.009,-0.029,-0.052,-0.054,-0.042,-0.085,-0.038,0.075,0.031,0.063,-0.029,-0.012,0.003,0.103,0.005,-0.007,0.038,-0.008,0.029,0.117,0.059,0.049,0.046,-0.033,-0.032,0.008,0.007,0.022,0.059,-0.089,-0.03,0.008,-0.132,-0.0,0.035,-0.046,0.04,0.031,-0.052,-0.045,0.031,0.137,-0.06,0.084,0.039,-0.122,-0.037,-0.048,-0.09,0.051,-0.07,0.006,0.124,0.095,-0.008,0.046,0.063,-0.007,0.015,0.023,-0.06,-0.054,-0.028,-0.082,-0.071,-0.022,-0.018,0.086,-0.066,-0.086,-0.096,-0.025,-0.038,0.02,-0.078,-0.08,0.004,0.025,0.06,-0.007,-0.059,-0.076,-0.039,-0.07,-0.092,-0.001,-0.063,0.012,-0.106,-0.083,-0.049,-0.042,-0.094,-0.03,0.013
ctx-lh-lateralorbitofrontal_2,,,,,,,,,,,,,,,,,0.014,0.104,-0.005,-0.045,0.046,0.084,-0.15,0.012,-0.042,-0.002,0.028,-0.06,0.011,-0.023,-0.093,-0.09,0.065,-0.0,-0.074,-0.054,-0.018,0.014,-0.006,-0.088,0.002,0.091,0.046,0.075,-0.09,-0.046,-0.024,0.096,-0.123,0.008,-0.101,-0.119,0.062,0.17,0.011,0.046,-0.055,-0.114,-0.056,0.011,0.101,0.142,0.066,0.096,-0.112,-0.025,0.007,0.087,0.051,-0.075,-0.011,0.004,0.012,0.09,-0.011,-0.014,0.079,0.037,0.014,-0.04,0.059,0.154,-0.126,-0.022,0.093,-0.02,0.032,-0.092,-0.079,-0.133,-0.024,-0.02,-0.072,0.051,-0.04,-0.04,-0.016,-0.006,0.086,0.072,0.018,-0.061,-0.071,-0.058,0.097,-0.091,-0.035,-0.101,-0.096,-0.024,0.123,-0.119,0.003,-0.049
ctx-lh-lingual_1,,,,,,,,,,,,,,,,,,-0.044,0.029,-0.025,-0.072,-0.124,0.019,0.001,-0.006,0.02,-0.052,-0.003,0.014,0.073,0.078,0.001,-0.023,-0.048,0.057,-0.046,-0.037,0.1,-0.013,0.05,0.023,0.057,0.038,0.024,0.019,0.012,-0.02,-0.087,0.088,-0.014,0.062,0.057,0.073,-0.11,0.074,0.021,0.05,0.063,0.025,0.001,-0.074,0.124,0.039,-0.074,0.126,0.028,-0.056,0.073,-0.001,-0.07,0.008,0.022,0.044,0.089,0.08,-0.04,-0.065,0.018,-0.054,0.046,-0.001,-0.116,0.051,0.023,0.012,0.005,-0.067,0.084,-0.023,0.123,0.088,-0.001,-0.009,-0.044,-0.047,0.066,0.069,0.025,0.049,0.034,0.088,-0.027,0.054,-0.024,-0.067,0.062,0.002,0.041,0.065,0.071,0.124,0.08,0.052,0.045
ctx-lh-lingual_2,,,,,,,,,,,,,,,,,,,-0.024,-0.044,-0.122,-0.112,-0.058,-0.012,-0.038,-0.014,0.028,0.021,-0.082,-0.05,0.06,-0.034,-0.071,-0.001,-0.032,0.015,-0.077,-0.001,0.047,0.08,0.134,0.026,0.002,0.022,-0.079,0.02,0.063,0.051,-0.02,-0.077,-0.045,0.076,0.16,-0.056,0.005,-0.078,-0.001,-0.077,0.012,0.023,0.001,0.021,-0.006,-0.118,0.106,0.117,-0.02,0.058,-0.002,-0.012,0.046,0.015,0.006,0.034,0.062,-0.018,-0.014,-0.025,-0.051,-0.068,-0.05,-0.037,-0.011,-0.046,0.022,-0.018,0.018,-0.023,-0.057,0.086,-0.022,0.013,-0.056,-0.054,0.02,0.007,0.082,0.024,-0.005,0.021,0.021,-0.039,-0.003,-0.003,-0.024,-0.028,-0.062,-0.03,-0.019,0.085,0.129,-0.017,-0.038,-0.018
ctx-lh-medialorbitofrontal_1,,,,,,,,,,,,,,,,,,,,0.165,-0.066,0.032,-0.084,-0.024,-0.041,-0.008,0.03,-0.054,-0.05,-0.114,0.06,-0.071,-0.048,-0.102,-0.012,0.062,0.015,-0.009,0.096,0.028,-0.041,-0.029,0.048,0.058,-0.014,-0.005,0.012,0.039,0.015,-0.014,0.01,-0.015,0.007,0.025,0.021,0.07,0.014,-0.056,-0.019,-0.041,0.061,0.018,-0.013,0.041,-0.108,-0.075,-0.001,-0.039,-0.048,-0.055,0.065,0.118,0.039,-0.097,-0.112,0.024,0.029,-0.04,0.04,-0.053,-0.032,0.099,-0.043,-0.037,-0.031,-0.022,0.085,-0.107,-0.132,-0.0,0.01,-0.076,-0.043,-0.034,0.002,-0.046,0.033,-0.068,-0.056,-0.104,0.013,-0.052,-0.08,-0.064,0.008,0.006,0.076,0.034,0.017,-0.054,-0.025,-0.053,-0.021,-0.046
ctx-lh-middletemporal_1,,,,,,,,,,,,,,,,,,,,,0.165,0.106,-0.006,-0.06,0.067,-0.032,-0.013,-0.021,0.006,-0.083,0.094,0.022,0.02,-0.059,-0.154,-0.013,0.142,0.085,0.023,-0.025,0.135,0.135,0.144,0.1,-0.055,-0.147,-0.105,-0.098,-0.004,0.006,-0.119,-0.071,0.129,0.064,-0.097,-0.109,-0.131,0.057,-0.095,0.077,-0.05,-0.117,-0.069,0.013,0.091,0.151,-0.024,0.004,-0.098,0.186,-0.05,-0.018,-0.06,-0.022,0.015,-0.061,-0.057,0.232,0.086,0.031,0.109,0.035,-0.092,-0.152,0.037,-0.064,0.015,-0.112,-0.068,-0.074,-0.162,-0.084,-0.028,0.123,0.024,0.033,-0.031,0.041,0.098,0.133,-0.121,-0.054,-0.112,-0.126,-0.098,-0.013,-0.015,-0.131,-0.178,0.073,-0.08,-0.064,-0.136,-0.168
ctx-lh-middletemporal_2,,,,,,,,,,,,,,,,,,,,,,0.077,0.003,-0.029,-0.032,0.019,-0.055,-0.069,-0.031,-0.11,0.035,0.048,0.016,-0.146,-0.056,0.104,0.029,-0.049,0.07,0.18,0.07,-0.052,0.029,0.013,0.048,-0.042,-0.079,-0.074,-0.032,-0.009,0.03,0.003,-0.034,0.041,-0.128,-0.014,0.024,-0.018,-0.083,0.022,-0.002,-0.051,-0.061,0.037,-0.004,0.019,-0.078,-0.058,-0.059,-0.021,0.016,0.037,-0.123,-0.074,-0.066,0.048,-0.029,-0.104,-0.027,-0.033,-0.057,0.072,-0.005,-0.011,-0.089,-0.005,0.044,-0.116,-0.141,-0.037,-0.061,-0.057,-0.016,-0.057,0.018,-0.117,-0.001,0.046,-0.087,-0.1,-0.007,0.114,-0.077,-0.073,-0.034,-0.068,0.071,0.019,0.024,-0.075,-0.057,-0.012,-0.021,0.034
