,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-audiopsychic,,,,,,,,,,,,-0.077,0.036,-0.06,-0.144,-0.011,-0.197,-0.057,-0.12,-0.109,0.059,-0.064,-0.039,0.113,0.011,-0.049,-0.106,-0.141,-0.278,-0.049,-0.156,0.081,-0.046,-0.384
ctx-lh-audiosensory,,,,,,,,,,,,,0.053,-0.05,-0.012,-0.029,0.062,-0.043,-0.091,-0.031,0.164,0.082,0.074,0.121,0.055,0.01,-0.023,-0.052,-0.244,-0.193,-0.02,0.143,-0.012,-0.012
ctx-lh-olfactory,,,,,,,,,,,,,,0.228,0.159,0.02,-0.009,0.274,-0.008,0.018,0.092,-0.046,-0.054,0.161,0.317,0.285,0.091,-0.13,-0.072,-0.237,0.106,0.271,0.023,-0.202
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.179,0.163,0.231,-0.143,-0.155,-0.033,0.103,0.106,-0.155,0.039,-0.06,-0.035,-0.052,-0.008,-0.021,0.126,0.058,0.204,0.085,0.018
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.145,0.08,-0.01,-0.082,-0.087,0.017,0.058,-0.15,-0.104,-0.29,-0.192,-0.23,-0.198,0.068,0.168,-0.229,-0.152,-0.125,-0.139
ctx-lh-limbicC,,,,,,,,,,,,,,,,,0.059,-0.158,-0.199,-0.096,-0.015,0.1,-0.135,0.024,0.0,0.028,0.005,-0.114,0.058,-0.131,0.034,0.22,0.079,-0.072
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.057,0.051,0.207,0.296,0.267,0.158,0.172,0.122,0.096,-0.11,-0.018,-0.059,-0.107,0.153,0.185,0.159,0.163
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,-0.072,-0.135,-0.14,-0.192,-0.332,-0.076,-0.093,-0.143,-0.115,-0.098,-0.083,-0.1,-0.043,0.227,-0.146,-0.156
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.146,-0.097,-0.167,-0.254,-0.017,-0.04,-0.156,-0.026,-0.205,-0.036,-0.2,-0.152,0.053,-0.163,-0.03
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.01,-0.159,0.004,0.131,-0.021,-0.101,-0.166,-0.103,-0.059,-0.173,-0.116,0.063,0.007,0.119
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.096,0.061,0.115,0.014,0.038,-0.016,0.043,0.2,-0.083,0.018,0.163,0.03,0.182
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.322,-0.126,-0.109,-0.1,-0.015,-0.021,0.151,-0.151,-0.056,0.071,0.007,0.027
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.171,-0.134,-0.176,-0.206,0.037,0.07,-0.253,-0.158,0.134,-0.171,0.037
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.002,0.085,-0.031,0.102,-0.137,0.057,0.16,0.126,0.124
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.193,-0.157,-0.016,0.048,-0.01,-0.108,0.072,-0.052
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.225,-0.14,0.039,0.043,-0.069,-0.068,-0.029,-0.098
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.254,-0.069,-0.13,-0.02,0.089,-0.028,-0.131
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018,-0.194,-0.045,0.179,-0.23,-0.155
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.233,0.043,0.09,-0.02,-0.077
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.051,0.303,-0.113,-0.228
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,0.114,-0.081
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364,-0.017
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
